brightness_diff,contrast_diff,noise_level,ssim,is_degraded,filename,dataset,normal_path,degraded_path
53.05715263518138,0.32819120610660946,47.50547664579896,0.9,1,normal (52).png,train,split_data/train/normal/normal (52).png,split_data/train/degraded/normal (52).png
41.50940467533351,31.55274661979947,87.86212366362716,0.9,1,normal (44).png,train,split_data/train/normal/normal (44).png,split_data/train/degraded/normal (44).png
-28.50087315061848,60.4396151911347,118.78170735549584,0.9,1,normal (108).png,train,split_data/train/normal/normal (108).png,split_data/train/degraded/normal (108).png
-17.934627616035925,66.54004906737212,120.94703669937533,0.9,1,normal (13).png,train,split_data/train/normal/normal (13).png,split_data/train/degraded/normal (13).png
22.26223632410835,21.03787825301223,71.49213186117784,0.9,1,normal (68).png,train,split_data/train/normal/normal (68).png,split_data/train/degraded/normal (68).png
49.34833712021502,6.985137232246153,44.168328875760324,0.9,1,normal (124).png,train,split_data/train/normal/normal (124).png,split_data/train/degraded/normal (124).png
-4.8218519753292215,78.05809042541499,113.46739218067317,0.9,1,normal (132).png,train,split_data/train/normal/normal (132).png,split_data/train/degraded/normal (132).png
42.43665469242298,-10.897814800663888,20.95604072765928,0.9,1,normal (29).png,train,split_data/train/normal/normal (29).png,split_data/train/degraded/normal (29).png
60.20571513737123,-22.514720139381037,14.327110375410097,0.9,1,normal (91).png,train,split_data/train/normal/normal (91).png,split_data/train/degraded/normal (91).png
21.50132692747655,29.72868179620592,97.13071451396075,0.9,1,normal (64).png,train,split_data/train/normal/normal (64).png,split_data/train/degraded/normal (64).png
97.99756193282599,-16.576848732594847,36.76276412455076,0.9,1,normal (33).png,train,split_data/train/normal/normal (33).png,split_data/train/degraded/normal (33).png
32.748608083903406,31.808869183245804,92.11544818780709,0.9,1,normal (128).png,train,split_data/train/normal/normal (128).png,split_data/train/degraded/normal (128).png
47.60140059822803,29.83748711108779,57.89592771224776,0.9,1,normal (72).png,train,split_data/train/normal/normal (72).png,split_data/train/degraded/normal (72).png
